Task No,Dev,Day,What,How,Status,Notes
1.1.1,Dev1,Day 1,Install Vite + React scaffold in frontend/,"cd frontend && npm create vite@latest . -- --template react && npm install. Verify src/main.jsx and App.jsx exist and npm run dev shows Vite default page on localhost:5173",TODO,Repo already exists — run commands inside existing frontend/ folder
1.1.2,Dev1,Day 1,Install Tailwind CSS v3 + PostCSS,"cd frontend && npm install -D tailwindcss@3 postcss autoprefixer && npx tailwindcss init -p. Verify tailwind.config.js and postcss.config.js are created.",TODO,Must be v3 NOT v4. Use tailwindcss@3 explicitly
1.1.3,Dev1,Day 1,Configure tailwind.config.js with brand colors and content paths,"Open tailwind.config.js. Set content: ['./index.html','./src/**/*.{js,jsx}']. Extend theme with fontFamily inter and colors.brand (green:#16a34a orange:#ea580c) and colors.grade (aplus:#059669 a:#16a34a b:#d97706 c:#c2410c d:#b91c1c f:#7f1d1d)",TODO,Use exact hex values from plan — no changes
1.1.4,Dev1,Day 1,Set up index.css with Google Fonts + Tailwind directives + design tokens,"Open src/index.css. Add @import for Inter from Google Fonts at top. Then @tailwind base; @tailwind components; @tailwind utilities; Add CSS variables for --color-brand-green --color-brand-orange --color-grade-* under :root. Set body font-family to Inter.",TODO,Import URL: https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700;800
1.1.5,Dev1,Day 1,Install React Router v6 + axios + lucide-react + recharts,"cd frontend && npm install react-router-dom axios lucide-react recharts. Verify all appear in package.json dependencies.",TODO,"These are the only additional packages — no redux, no zustand, nothing else"
1.1.6,Dev1,Day 1,Create UserContext.jsx with localStorage persistence,"Create src/context/UserContext.jsx. Export UserProvider component that wraps children in UserContext.Provider with value {currentUser setUser}. useState initializes from JSON.parse(localStorage.getItem('reloop_user')). selectUser() updates state AND calls localStorage.setItem. Export useUser hook.",TODO,Dev2 must have GET /api/users working before this is testable
1.1.7,Dev1,Day 1,Create App.jsx with all 10 routes wired up,"Create src/App.jsx. Wrap entire tree in <UserProvider>. Use <BrowserRouter><Routes>. Add Route for each: / Marketplace /marketplace/:id /return /return/intercept/:orderId /orders /seller /returns /green-profile /admin. Import all page components even if they are stubs.",TODO,Verify npm run dev shows routes without 404 errors
1.1.8,Dev1,Day 1,Create stub files for all 10 pages,"Create src/pages/Landing.jsx Marketplace.jsx ProductDetail.jsx ReturnFlow.jsx ReturnInterception.jsx OutgrownIt.jsx SellerDashboard.jsx MyReturns.jsx GreenProfile.jsx AdminDashboard.jsx. Each file exports a default function returning <div className='p-8'><h1>[PageName] — Coming Soon</h1></div>",TODO,Stub pages prevent import errors in App.jsx
1.1.9,Dev1,Day 1,Create Navbar.jsx component — full implementation,"Create src/components/Navbar.jsx. Sticky top-0 bg-white border-b border-gray-200 shadow-sm. Left: leaf icon + ReLoop text in brand-green. Center: nav links to /marketplace /orders /returns /green-profile using NavLink with active underline. Right: UserSwitcher component + city badge + green credits chip. Fetch users from VITE_API_URL+/users on mount.",TODO,City badge shows nearestDc city. Credits chip shows currentUser.greenCredits
1.1.10,Dev1,Day 1,Create UserSwitcher.jsx dropdown component,"Create src/components/UserSwitcher.jsx. Fetch GET /api/users on mount. Render a styled dropdown <select> showing 'Name • City'. On change parse selected user object and call selectUser() from context. Show currently selected user name as default label.",TODO,Must call selectUser from useUser() context
1.1.11,Dev1,Day 1,Build Landing page — Hero section + How It Works + Stats,"In Landing.jsx: Section 1 hero — H1 'Every returned product deserves a second life' + subtext + two CTA buttons (Browse Marketplace and Return an Item). Section 2 — 4-step How It Works with icons. Section 3 — fetch GET /api/stats and display 4 stat cards (products saved CO2 items sold credits issued). Section 4 — 3 persona cards. Use Tailwind only.",TODO,Stats section can show 0 if API not ready — add loading skeleton
1.1.12,Dev1,Day 1,Create StatCard.jsx reusable component,"Create src/components/StatCard.jsx. Props: icon value label unit color. Renders a white rounded-xl shadow-sm p-6 card with the icon on top value in large bold font label below. Used on Landing and Admin pages.",TODO,Accept any Lucide icon as prop
2.1.1,Dev2,Day 1,Init Express backend and install all dependencies,"cd backend && npm init -y && npm install express cors dotenv multer @aws-sdk/client-s3 uuid @google/generative-ai @prisma/client && npm install -D nodemon prisma. Add scripts to package.json: dev: nodemon src/index.js and start: node src/index.js",TODO,Do NOT install TypeScript or ts-node — pure JavaScript
2.1.2,Dev2,Day 1,Create backend/src/index.js — Express app entry,"Create src/index.js. Import express cors dotenv. Call dotenv.config(). Init app. Add cors({origin:'*'}) middleware. Add express.json({limit:'50mb'}) and express.urlencoded. Mount all route stubs. Add GET /api/health returning {status:'ok'}. Listen on PORT from env or 5000.",TODO,Test with curl http://localhost:5000/api/health — should return {status:ok}
2.1.3,Dev2,Day 1,Create all route stub files in src/routes/,"Create files: users.js marketplace.js orders.js returns.js grading.js seller.js batchGrade.js greenCredits.js admin.js stats.js outgrown.js. Each file: const router = require('express').Router(); router.get('/' (req res) => res.json({message:'TODO'})); module.exports = router;",TODO,Mount all in index.js with app.use('/api/routename' require('./routes/file'))
2.1.4,Dev2,Day 1,Implement GET /api/users endpoint,"In src/routes/users.js query prisma.user.findMany() with include:{nearestDc:true}. Return array of users with fields: id name email city state greenCredits greenTier and nearestDc object. Handle errors with try/catch and 500 response.",TODO,Dev1 Navbar depends on this working by end of Day 1
2.1.5,Dev2,Day 1,Implement GET /api/stats endpoint,"In src/routes/stats.js query DB for: count of returns by status count of inventory items by status total greenCredits awarded. Calculate CO2 saved as (count of LISTED+SOLD+DONATED items * 0.45kg). Return object with totalReturns totalListed totalSold totalDonated totalRecycled co2SavedKg totalGreenCredits.",TODO,CO2 formula: each resold item saves ~0.45kg vs new product manufacturing
2.1.6,Dev2,Day 1,Create src/lib/db.js Prisma client singleton,"Create src/lib/db.js. const { PrismaClient } = require('@prisma/client'); const prisma = new PrismaClient(); module.exports = { prisma }; Import this in every route file.",TODO,Never import PrismaClient directly in route files — always use this singleton
2.1.7,Dev2,Day 1,Create backend/.env file with all variables,"Create backend/.env with: DATABASE_URL GEMINI_API_KEY AWS_ACCESS_KEY_ID AWS_SECRET_ACCESS_KEY AWS_REGION S3_BUCKET_NAME PORT=5000. Use placeholder values for now — Dev3 will fill real RDS URL.",TODO,Never commit .env to git — add to .gitignore immediately
2.1.8,Dev2,Day 1,Add .gitignore files for both frontend and backend,"Create backend/.gitignore with: node_modules/ .env dist/ .prisma/. Create frontend/.gitignore with: node_modules/ .env dist/ .vite/",TODO,Critical — env files must NOT be pushed to GitHub
3.1.1,Dev3,Day 1,Init Prisma in backend directory,"cd backend && npx prisma init. This creates prisma/ folder with schema.prisma and adds DATABASE_URL to .env. Verify prisma/schema.prisma file exists.",TODO,Must run from inside backend/ directory not root
3.1.2,Dev3,Day 1,Write complete Prisma schema.prisma,"Open prisma/schema.prisma. Write all 10 models: Product User DeliveryCenter DcRoute Order Return ReturnImage AiGrading InventoryItem MarketplaceOrder GradeConfig GreenCreditLedger. Copy exact schema from implementation_plan.md — all @map decorators @db.Decimal types and @@index directives must be included.",TODO,Double check all relations are bidirectional — mismatched relations cause migration errors
3.1.3,Dev3,Day 1,Run Prisma migration to create database tables,"npx prisma migrate dev --name init. This generates SQL and applies it to DATABASE_URL. Verify all 12 tables are created with npx prisma studio — opens browser UI at localhost:5555 showing all tables.",TODO,Requires DATABASE_URL to be set. Use local postgres for day 1 — switch to RDS URL on Day 5
3.1.4,Dev3,Day 1,Create backend/src/lib/constants.js with all cost constants,"Create src/lib/constants.js with COSTS object (LAST_MILE_PICKUP:65 LAST_MILE_DELIVERY:65 HANDLING_TOTAL:42 MIN_MARGIN:20 etc) GRADE_CONFIG object (A+ through F with label discountPct route minMrp) and GREEN_CREDITS object. Export all three with module.exports.",TODO,These values are used in routing and costing logic — must match business rules exactly
3.1.5,Dev3,Day 1,Start writing prisma/seed.js — Delivery Centers and DC Routes,"Create prisma/seed.js. Import PrismaClient. Write createMany for 6 DCs: Delhi(DEL1) Mumbai(MUM1) Bangalore(BLR1) Kolkata(KOL1) Hyderabad(HYD1) Jaipur(JAI1). Then write 36 DC routes (6x6 matrix) with distance transferCost estimatedDays. Use upsert or deleteMany first to allow re-seeding.",TODO,Jaipur DC is critical for Priya's demo scenario — nearestDc for user-009
3.1.6,Dev3,Day 1,Seed products — all 27 items (20 original + 7 cheap),"In seed.js add createMany for 27 products. Original 20 from demo_blueprint.md (Samsung Nike Sony etc). Plus 7 cheap ones from persona_fixes.md: prod-021 Bata shoes Rs499 prod-022 Spigen case Rs299 prod-023 Handkerchiefs Rs199 prod-024 Pop Socket Rs99 prod-025 Mi Camera Rs2499 prod-026 Kurti Rs599 prod-027 Dupatta Rs349.",TODO,Image URLs use /images/filename.jpg — Dev1 downloads placeholder images to frontend/public/images/
3.1.7,Dev3,Day 1,Seed all 14 users across 6 cities,"In seed.js add createMany for 14 users: 8 original (user-001 through user-008) plus Priya Verma in Jaipur (user-009) Kavita Singh Deepa Rathore in Jaipur (user-010 user-011) Rahul Deshmukh in Pune (user-012) Neha Patil Aarti Joshi in Pune (user-013 user-014). Set nearestDcId correctly for each.",TODO,"Priya (user-009) nearestDcId must be dc-jai-001 (Jaipur DC) — this is critical for routing demo"
3.1.8,Dev3,Day 1,Seed all 19 orders,"In seed.js add createMany for 19 orders. Orders ord-001 through ord-015 from demo_blueprint.md plus ord-016 (Priya's Rs499 shoes) ord-017 (Spigen case) ord-018 (Pop Socket) ord-019 (Rahul baby monitor). Set status correctly: RETURN_REQUESTED for most DELIVERED for Rahul's monitor and Priya's shoes.",TODO,ord-016 (Priya shoes) must have status DELIVERED so interception flow can trigger
1.2.1,Dev1,Day 2,Build Marketplace page — header + filter bar + product grid layout,"In Marketplace.jsx: Header section showing current user name and city (from useUser context). Filter bar with category dropdown sort dropdown and grade checkboxes using Tailwind select and input classes. Grid layout using grid grid-cols-1 sm:grid-cols-2 lg:grid-cols-3 gap-6. Fetch GET /api/marketplace?user_id=X on mount and re-fetch when user changes.",TODO,Show skeleton loading cards (animate-pulse gray boxes) while fetching
1.2.2,Dev1,Day 2,Build ProductCard.jsx component — full design,"Create src/components/ProductCard.jsx. Props: item (inventory item with product and pricing). White bg rounded-xl shadow-sm hover:shadow-md transition. Image top (h-48 object-cover). GradeBadge component below image. Product name in font-semibold. MRP with line-through text-gray-400. ReLoop price in large text-brand-green font-bold. Shipping cost in small text. Near You badge in green pill if isNearYou. Bottom: discount % badge + green credits chip + View Details button.",TODO,isNearYou prop comes from API — shows 'Near you! Fast delivery' badge
